ExperimentID,ExperimentDate,RubberType,FormulaVersion,BatchID,MixingTempC,MixingTimeMin,MooneyViscosityML100,CuringTempC,ScorchTimeMin,OptimumCureTimeMin,HardnessShoreA,TensileStrengthMPa,ElongationPercent,CompressionSetPercent,ReboundPercent,DensityGcm3,DefectCount,PassRatePercent,Technician
EXP-001,2026-05-01,Natural Rubber,F-A,NR-260501-A,82,8.5,64,155,5.8,12.5,61,18.4,520,18.2,47,1.12,3,96.5,Lin
EXP-002,2026-05-02,Natural Rubber,F-A,NR-260502-A,84,8.8,66,155,5.5,12.8,62,18.1,505,18.9,46,1.13,4,95.8,Lin
EXP-003,2026-05-03,SBR,F-B,SBR-260503-B,88,9.2,71,160,4.9,14.1,65,16.8,445,22.5,42,1.18,7,92.4,Chen
EXP-004,2026-05-04,SBR,F-B,SBR-260504-B,90,9.5,73,160,4.7,14.4,66,16.4,430,23.2,41,1.19,8,91.8,Chen
EXP-005,2026-05-05,EPDM,F-C,EPDM-260505-C,96,10.1,78,165,6.4,15.8,70,14.9,380,27.6,39,1.24,6,93.2,Wang
EXP-006,2026-05-06,EPDM,F-C,EPDM-260506-C,95,10.0,76,165,6.6,15.4,69,15.2,392,26.9,40,1.23,5,94.1,Wang
EXP-007,2026-05-07,NBR,F-D,NBR-260507-D,92,9.6,74,160,5.2,13.9,68,17.6,410,21.8,44,1.21,4,95.2,Zhao
EXP-008,2026-05-08,NBR,F-D,NBR-260508-D,91,9.4,72,160,5.4,13.6,67,17.9,418,21.1,45,1.20,3,96.0,Zhao
EXP-009,2026-05-09,Natural Rubber,F-A,NR-260509-A,83,8.7,65,155,5.9,12.3,61,18.8,535,17.8,48,1.12,2,97.1,Lin
EXP-010,2026-05-10,SBR,F-E,SBR-260510-E,89,9.1,69,158,5.1,13.7,64,17.2,462,21.5,43,1.17,5,94.6,Chen
EXP-011,2026-05-11,EPDM,F-F,EPDM-260511-F,97,10.4,80,166,6.1,16.2,71,15.6,405,25.8,41,1.25,4,95.0,Wang
EXP-012,2026-05-12,NBR,F-G,NBR-260512-G,93,9.8,75,162,5.0,14.2,69,18.3,428,20.7,46,1.22,2,97.4,Zhao
